category,title,description,url
Official,Jane Street Probability & Markets,Official JS probability resource,https://www.janestreet.com/probability-and-markets/
Official,Jane Street Interviewing,How Jane Street interviews,https://www.janestreet.com/join-jane-street/interviewing/
Official,Optiver Careers / Students,Optiver student recruiting,https://www.optiver.com/working-at-optiver/career-opportunities/students/
Question Bank,QuantGuide Trader 75,Curated quant interview questions,https://quantguide.io/
Question Bank,QuantQuestions,Probability and brainteaser practice,https://www.quantquestions.com/
Mental Math,TraderMath,Mental math and market games,https://www.tradermath.org/
Mental Math,Zetamac,Fast arithmetic drills,https://arithmetic.zetamac.com/
Market Making,TraderMath Market Games,Market making practice games,https://www.tradermath.org/market-making-games
Firm Careers,Jane Street Open Roles,Jane Street careers,https://www.janestreet.com/join-jane-street/open-roles/
Firm Careers,Optiver Careers,Optiver jobs,https://www.optiver.com/working-at-optiver/career-opportunities/
Firm Careers,SIG Careers,Susquehanna careers,https://careers.sig.com/
Firm Careers,Citadel Securities Careers,Citadel Securities jobs,https://www.citadelsecurities.com/careers/
Firm Careers,DRW Careers,DRW recruiting,https://www.drw.com/work-at-drw/
Firm Careers,IMC Careers,IMC Trading careers,https://www.imc.com/eu/careers/
Firm Careers,Flow Traders Careers,Flow Traders jobs,https://www.flowtraders.com/careers/
Firm Careers,Maven Careers,Maven Securities careers,https://www.mavensecurities.com/careers/
Firm Careers,G-Research Careers,G-Research jobs,https://www.gresearch.com/careers/
Firm Careers,XTX Markets Careers,XTX Markets careers,https://www.xtxmarkets.com/careers/
